"@title","Espa&ntilde;ol"
"#00837","Rejuvenation magic? No, that's not what magic is for."
"#00838","I'm working on a new spell."
"#00839","I'll shapeshift into a beautiful woman and have some fun!"
"#00840","(Smiles affably and nods in greeting.)"
"#00841","(Points to the mime outfit. Oh yeah, mimes don't speak.)"
"#00842","(Jumps excitedly, clapping hands, eager for adventure.)"
"#00843","(Dances strangely, anxious about the upcoming battle.)"
"#00844","(Munches on some strange food.)"
"#00845","(Smiles smugly, as if to say, ""behold the battle mime!"")"
"#00846","(Wakes up with a start, wiping drool off one cheek.)"
"#00847","Greetings! I'm at your service."
"#00848","If I only had a white horse, I could find a fair maiden..."
"#00849","What's the hold up? Let's get going."
"#00850","I use hammers because swords are too mainstream. Cool, eh?"
"#00851","Argh, that hurt! I stepped on a pin... I'm...I'm bleeding!"
"#00852","Who puts these treasure chests all over the place anyway?"
"#00853","My gaze can kill... You're only safe because of my visor."
"#00854","Hmph."
"#00855","(The warrior gazes silently. A silent protagonist?)"
"#00856","(The warrior seems to want to show off a fancy helmet.)"
"#00857","(The warrior silently vows to fell the demon lord.)"
"#00858","Ouch! Well, darn! I... I spoke."
"#00859","(The warrior hums a song. A battle theme, perhaps?)"
"#00860","(The warrior shifts about, impatient to go questing.)"
"#00861","Hi there! Sup?"
"#00862","Any pretty girls where we're going?"
"#00863","I really can fight! I got straight As in Knight school!"
"#00864","Quests? What are they? Anyway, take me with you!"
"#00865","I need to message my mom to let her know I'm doing okay..."
"#00866","I need a better weapon. How much is in my piggy bank..."
"#00867","Monsters aren't half as scary as my mom!"
"#00868","Awright! Let's deal with all these nasty monsters!"
"#00869","The monsters are harassing the villagers, we must help!"
"#00870","We heroes should never barge into houses uninvited."
"#00871","Sandwiches... Water... Potions... We're good to go!"
"#00872","Oh no! I got a hole in my sock!"
"#00873","We warriors are paragons of courage and honor!"
"#00874","This...this is terrible! A coffee stain on my cape!"
"#00875","Splashy splash!"
"#00876","Don't worry, I've learned how to move on land."
"#00877","Pokey stabby time! Fear my spear!"
"#00878","It gets so cold here on land. It must be the wind."
"#00879","I like salmon. We get along really well."
"#00880","If you need a swimming instructor, you know who to call!"
"#00881","I'll never forget the first time I had beef tongue."
"#00882","Before I knew it, people started calling me a legend."
"#00883","Legends need legendary hair. That's why I use Hero Hair Wax!"
"#00884","Prepare to be amazed!"
"#00885","Bring out the last boss! My sword is ready!"
"#00886","I am the true hero of this story!"
"#00887","Sigh... Being a legend doesn't pay what it used to."
"#00888","My friends call me ""Foot"", because I'm a leg end. Get it?"
"#00889","I'm in stealth mode. You can't see me, right?"
"#00890","Got assassins after you? Leave them to me."
"#00891","No one who's seen my face is left alive."
"#00892","I've had the best training. You can count on my skill."
"#00893","Karaoke-no-jutsu! I'll kill you softly with my song!"
"#00894","Ninja clothes are comfy and easy to wear."
"#00895","I hate hiding in leaves, the bugs get everywhere."
"#00896","Move aside, I'm the true hero!"
"#00897","My fists are almost glowing with power!"
"#00898","I'll bring down the hammer of justice on any villain!"
"#00899","Monsters? I'll beat them into a pulp."
"#00900","Come here, monster, gimme your best shot! Oh, it heard me..."
"#00901","My 500-ton punch pulverizes anything!"
"#00902","Come here, monster, gimme your best shot! Oh, it heard me..."
"#00903","I may look scrawny, but I've been trained for battle!"
"#00904","Foes leave me alone, thinking I'm already dead."
"#00905","Fighting bosses is back-breaking work."
"#00906","N-no! Don't tickle there, it's my funny bone!"
"#00907","Unkind people say I'm bone-idle."
"#00908","There's only one day a year when I feel like I fit in."
"#00909","I cannot lie to you...because you can see right through me! Hehehe."
"#00910","Muahaha! One day I'll rule the world."
"#00911","These monsters are weak. I shall have to train them myself."
"#00912","Quests? Is that what you do? I'll join you, it sounds fun."
"#00913","It wasn't easy becoming a demon lord, you know."
"#00914","Kitties... They're the cutest lifeforms."
"#00915","Human food is delicious! We could use one in our kitchens!"
"#00916","I'll teach the monsters in this area who's boss. Muahaha!"
"#00917","I'm a Mighty Morphin' Power Adventurer!"
"#00918","Villains and evil-doers, I have you in my sight!"
"#00919","You may make a hero cry...but you can't make them give up!"
"#00920","I aim to be a role model for kids, you know."
"#00921","We're leaving? Okay, let me just go to the bathroom first."
"#00922","I must fight on. It is my destiny."
"#00923","I always record my battles, to show the kids later."
"#00924","What quest shall we embark on today?"
"#00925","It behooves a king to be in touch with his subjects' needs."
"#00926","Oh, adventure? How thrilling!"
"#00927","When I was younger, I used to be a respected swordmaster."
"#00928","Let me join you. My wife will take care of the kingdom."
"#00929","I haven't held a sword in ages, but it'll come back to me!"
"#00930","Come and see my swordfighting trophies one day."
"#00931","Meow."
"#00932","Mrrrr.... Meow!"
"#00933","Hissssss!"
"#00934","Nya-nyaaaan!"
"#00935","We cats are able to speak your language once in our life."
"#00936","Mrrraow? Zzz..."
"#00937","Meowie?"
"#00938","Woof!"
"#00939","Yap! Yap!"
"#00940","Arooooo!"
"#00941","Grrrrr!"
"#00942","Arrrrrr roof!"
"#00943","Hello? Yes, this is doge."
"#00944","Bork! Bork! Bork! Say I'm a good boy! Come on!"
"#00945","Moo."
"#00946","Mmmm...moo."
"#00947","Of course my bags are full of grass. A cow's gotta eat."
"#00948","I may be a cow, but I'm as strong as a bull."
"#00949","Once I'm too old to go on quests, I'll open a dairy farm."
"#00950","Our horns are not just for show. Headbutt time!"
"#00951","Let's beef up this team!"
"#00952","Hello there."
"#00953","I'm an inventor. See? I've invented kale which eats itself."
"#00954","My brand new experimental weapon should be delivered soon."
"#00955","Questing is the perfect opportunity to collect data."
"#00956","I like bananas."
"#00957","I like banana smoothies too."
"#00958","Banana cake...isn't among my favorites."
"#00959","Heh heh."
"#00960","I am a robot. My strength is superior to that of any human."
"#00961","I acquired my spear skills by fruit picking on a farm."
"#00962","Long ago, I, and robots like me, explored space together."
"#00963","Sweet buns taste great...but I have no taste buds."
"#00964","I get philosophical sometimes. Am I self-aware?"
"#00965","Thinking of dessert always motivates me."
"#00966","Nyeh heh heh."
"#00967","One day Wairosoft will take control of this world..."
"#00968","I wish I had a mint. So I could mint my own money."
"#00969","I sell the best burgers. Where's the meat from? Don't ask."
"#00970","I like pizza."
"#00971","I dropped three million gold around here the other day."
"#00972","Any coins you find are mine. Bring them back to me, okay?"
"#00973","My blade lights itself on fire in the heat of battle."
"#00974","No foe can win against me. I'll crush them all!"
"#00975","Let's hurry up with this quest. Treasure awaits!"
"#00976","I'd like my own castle and servants."
"#00977","Take-out curry is perfect when you don't feel like cooking."
"#00978","Is there no magic spell to make a person fly?"
"#00979","I need to get new sunglasses. Maybe heart-shaped?"
"#00980","Oh, you are a magician? We could use someone like you."
"#00981","We are plagued by monsters. Please do something about them!"
"#00982","Be careful when setting out on a quest. Many dangers await."
"#00983","You may find helpful allies at the inn."
"#00984","Keep rescuing villagers, this place'll get bustling again."
"#00985","Stop and attack... Stop and attack..."
"#00986","The longer you use your equipment, the better it becomes."
"#00987","How are you? Nice weather we're having!"
"#00988","I wish there were more shops in this town."
"#00989","Monsters took my friends. I hope they come back soon!"
"#00990","I heard doing well in battles is all about the elements."
"#00991","Get your friends a house and they'll aid you in battle."
"#00992","Defeat the same monster a few times to show its HP bar."
"#00993","I read somewhere that Stamina takes 15 minutes to recover."
"#00994","Did you know? You can have max 10 Stamina."
"#00995","There seem to be bonuses the first time you clear a quest."
"#00996","Sometimes HP recovers all on its own when walking."
"#00997","I hear you can have up to 9 friends with you in battle."
"#00998","Did you hear? The better a weapon is, the more MP it uses."
"#00999","It's good to swap clothes and hats when you get the chance."
"#01000","I don't know what I would've done if you hadn't shown up!"
"#01001","If I were two years younger, I'd join you on your quests."
"#01002","Allies can't change equipment, so change allies instead."
"#01003","When I was young...my wife was also young."
"#01004","Raise Speed to move faster."
"#01005","Water magic is strong against fire."
"#01006","Lightning magic is strong against water."
"#01007","Hmm... I'm not sure what's effective against lightning."
"#01008","The gauge below a monster shows its element."
"#01009","When you're low on MP, your attack power will weaken."
"#01010","How do you do? Hey, why don't you visit the king some time?"
"#01011","It costs 1 Stamina point to embark on a quest."
"#01012","Have you been improving your skills at the MagiMart?"
"#01013","When you get a new weapon, don't forget to equip it."
"#01014","Stamina recovers even when you're not playing the game."
"#01015","The town's really thriving now, all thanks to you!"
"#01016","Be sure to check out the elements of your allies' weapons."
"#01017","Check out all the shops before heading out on a quest!"
"#01018","Improve Fire to widen the hit area of your fire attacks."
"#01019","Hello. Nice day, huh?"
"#01020","Raising movement speed can make battles a breeze."
"#01021","A high Evasion means enemies are likely to miss you."
"#01022","Improved Lightning attacks have a wider hit area."
"#01023","Lovely day, isn't it?"
"#01024","A high Critical Rate makes it easier to land critical hits."
"#01025","I like folks with high Recovery."
"#01026","Improve Water to widen the hit area of your water attacks."
"#01027","Another peaceful day in this beautiful town!"
"#01028","Even really high Accuracy doesn't guarantee you'll hit."
"#01029","Lively towns like this are a rare sight!"
"#01030","You doing okay?"
"#01031","This town's getting quite a reputation among us merchants."
"#01032","Tap me and maaaybe you'll get extra Crystals."
"#01033","These quests can help you improve your magic skills."
"#01034","Switch between fire and water spells."
"#01035","Quest as long as your Stamina lasts!"
"#01036","Find an enemy you can't beat? Level up on an earlier stage."
"#01037","There are many fire element monsters on the plains."
"#01038","Stop to attack, walk to recover HP. Remember that."
"#01039","Keep your eyes peeled! It's dangerous out there."
"#01040","Monsters here are too strong for us to tackle."
"#01041","The forest is infested with lightning element monsters."
"#01042","Improve your equipment by completing quests with it."
"#01043","I hear that some rods are capable of rapid fire spells!"
"#01044","You can redo cleared quests to rescue more villagers."
"#01045","Careful! There are monsters ahead!"
"#01046","Leave guarding this gate to me!"
"#01047","As you might expect, the snow's full of water monsters."
"#01048","Zzz..."
"#01049","My pals say there are rods that dish out area attacks."
"#01050","Whoa, you do realize it's dangerous past this gate?"
"#01051","I'm just going to stand on guard here."
"#01052","This mountain's teeming with lightning monsters."
"#01053","Who goes there? Oh, it's you."
"#01054","My role is to stand here to make sure no monsters sneak by."
"#01055","The scorching desert is overrun with fire monsters."
"#01056","Going out there? Don't let your guard down for a second!"
"#01057","Thanks for helping us eradicate the monsters!"
"#01058","You can expect to see a lot of water monsters in the swamp."
"#01059","Hey, be careful out there."
"#01060","I'd love to go with you, but I've got to guard this post."
"#01061","Lightning monsters swarm all over the town."
"#01062","This is the last area...I think!"
"#01063","Filled with the meanest, toughest foes you can imagine."
"#01064","Monsters of all sorts of elements live here."
"#01065","It's a very fun game, recommended by Kairobot!"
"#01066","I played this game for two weeks non-stop. It's that good!"
"#01067","Oh, this game looks really interesting!"
"#01068","I cannot recommend this game enough. Give it a try!"
"#01069","I stayed up all night playing this one."
"#01070","So here are my highlights for today!"
"#01071","I love this one. Why don't you play it too?"
"#01072","Ah, it's you. Doing a good job as always, I suppose?"
"#01073","Come and see me when you set a new high score."
"#01074","I shall bestow upon you a special reward once per day."
"#01075","I wish for world peace."
"#01076","One-two, one-two... I'm doing some weight training today."
"#01077","What brings you here today?"
"#01078","I've been on the throne so long, my backside has gone numb!"
"#01079","What? What!? I've been defeated?!"
"#01080","This can't be right!"
"#01081","Gwaaah! You're...good."
"#01082","Blarg, I lost!"
"#01083","You're...too strong..."
"#01084","Man, I've got nowhere to stay!"
"#01085","Give me a place to live and I'll join you in battles!"
"#01086","The display area stream now larger and can also be viewed stream <co=3366ff>landscape mode</co>!"
"#01087","You've successfully removed ads from the game!"
"#01088","You can also rotate the display if your device supports it! Toggle this on or off via \""System\"" > \""Options.\"""
"#01089","Maybe the new display will offer fresh perspectives on the game! Enjoy!"
"#01090","Please ensure connections are enabled, check your signal, and restart the app. Some features may be inaccessible with connections disabled."
"#01091","Message"
"#01092","Message"
"#01093","Transmitting"
"#01094","OK"
"#01095","Welcome!"
"#01096","Sold Out"
"#01097","Heh heh. Which do you want?"
"#01098","A communication error occurred."
"#01099","Buy Items"
"#01100","Read Terms of Use (Required)"
"#01101","Accept terms and proceed."
"#01102","Restart after purchase to claim items."
"#01103","Proceed"
"#01104","Accept terms and proceed"
"#01105","Alert"
"#01106","Your purchase is here!"
"#01107","Select a Shop"
"#01108","Pumpkin Products"
"#01109","Ticket Shop"
"#01110","Oh, dear... We <co=60,100,200>can't seem to contact</co> corporate HQ."
"#01111","Come back to the shop after checking your signal and communications status."
"#01112","Our usual impressive selection of products should be available to you then."
"#01113","We'll be waiting!"
"#01114","Here we sell tickets--premium items not easily found anywhere else stream the world."
"#01115","They're a bit pricey, so think carefully before buying, okay?"
"#01116","Heh heh."
"#01117","Welcome!"
"#01118","Ah, unfortunately we're <co=60,100,200>sold out</co> of that, but please have a look at our other offerings."
"#01119","You can't exceed <0> tickets."
"#01120","Ah, an excellent choice."
"#01121","This wonderful item can only be purchased with <co=60,100,200>actual, real-life money</co>."
"#01122","Children must check with a <co=60,100,200>parent or guardian</co> before making purchases."
"#01123","This shop will be open at all times now, so stop by anytime."
"#01124","Come again!"
"#01125","<0>"
"#01126","Play time: <0> hr <1> min"
"#01127","Friend Request"
"#01128","You can register up to five<br>friends. You'll earn bonuses<br>at game startup based on their<br>total play time. Ask friends for<br>their IDs to add them."
"#01129","Nickname"
"#01130","nickname"
"#01131","Enter a nickname."
"#01132","Nickname cannot include spaces."
"#01133","Contains one or more unusable characters."
"#01134","Friend's ID"
"#01135","friend's ID"
"#01136","Enter your friend's ID."
"#01137","Congratulations! You get a bonus for registering a new <co=60,100,200>friend</co>!"
"#01138","If you both continue playing, you'll earn more bonuses stream the future!"
"#01139","By the way, <co=255,0,0>don't delete this app</co> or all of your friend data will be lost for good."
"#01140","Getting Started"
"#01141","Please enter your nickname."
"#01142","Tap here"
"#01143","It can be changed later."
"#01144","OK"
"#01145","Enter a new nickname."
"#01146","<0>  <1> hr <2> min"
"#01147","Last Played"
"#01148","Total:"
"#01149","<0> hr <1> min"
"#01150","has sent a friend request."
"#01151","<0> other(s)"
"#01152","Find a friend"
"#01153","Help"
"#01154","Share ID"
"#01155","Your ID (tap to share)"
"#01156","Search here"
"#01157","Enter here"
"#01158","Search"
"#01159","Message"
"#01160","Approval may take time."
"#01161","Request"
"#01162","Cancel"
"#01163","Friend request sent to"
"#01164","Please wait for approval."
"#01165","Message"
"#01166","Close"
"#01167","Updates may take time."
"#01168","Approve"
"#01169","Decline"
"#01170","Friend Added"
"#01171","New Friend"
"#01172","<co=0070FF><0></co><br>added."
"#01173","You may receive bonuses."
"#01174","The player will not be notified."
"#01175","Delete"
"#01176","Back"
"#01177","Delete<br><0>?"
"#01178","About Friends"
"#01179","Friend Bonus (every <0> min)"
"#01180","You got a friend bonus of <co=254,233,1><0></co> hr <co=254,233,1><1></co> min."
"#01181","(Max)"
"#01182","Claim"
"#01183","Next Time"
"#01184","Friend Bonus"
"#01185","You got<br><co=0070FF><0> tickets</co>."
"#01186","Friend Bonus"
"#01187","New friends: <co=254,233,1><0></co>"
"#01188","You've added<br><co=0,128,255><0></co>!"
"#01189","Transmission failed. Check your settings and try again later."
"#01190","Please enter the shop code (for customer support only)."
"#01191","Shop Code"
"#01192","Receive save data"
"#01193","Please enter your\ninquiry support code."
"#01194","Inquiry support code"
"#01195","Recommended Apps"
"#01196","Go to Title Screen"
"#01197","Invite your friends!"
"#01198","You can't register 0 points."
"#01199","You can't register <0>."
"#01200","Updating app..."
"#01201","Authentication failed. Please use the account you used to purchase the app and check your signal."
"#01202","Please use the account you used to purchase the app and check your signal."
"#01203","Landscape mode available"
"#01204","in the Full Version!"
"#01205","Do not use: <0>"
"#01206","Please enter a <0>."
"#01207","Loading"
"#01208","Loading failed"
"#01209","Start"
"#01210","Slot"
"#01211","Resume"
"#01212","Load Data"
"#01213","No autosave data"
"#01214","Empty"
"#01215","Yr <0>"
"#01216","Mn <0> Wk <1>"
"#01217","Do not use: / | < > \\"
"#01218","Select data to load"
"#01219","No save data found"
"#01220","About the Game"
"#01221","Max Clear Points"
"#01222","None"
"#01223","None"
"#01224","Versi%oacute; completa."
"#01225","Get the full version to upload your hi scores!"
"#01226","Well done. You've finished the Lite version."
"#01227","After this you'll jump to our site, so check it out!"
"#01228","Gracias por jugar!"
"#01229","The latest <0><br>is now on sale."
"#01230","Si"
"#01231","No"
"#01232","Sistema"
"#01233","Guardas"
"#01234","Opciones"
"#01235","Ayuda"
"#01236","High Score"
"#01237","Salir"
"#01238","Continuar"
"#01239","Nueva Partida"
"#01240","Construir"
"#01241","Informaci&oacute;"
"#01242","Objetos"
"#01243","T&iacute;tulo"
"#01244","Sub-total: <0>"
"#01245","Total: <0>"
"#01246","<0>"
"#01247","<0>"
"#01248","<0>"
"#01249","Guardando..."
"#01250","Speech Window"
"#01251","Evento"
"#01252","Opciones"
"#01253","Prioridad"
"#01254","Velocidad"
"#01255","M&uacute;sica"
"#01256","SFX"
"#01257","Rotaci&oacute;"
"#01258","Gr&aacute;ficos"
"#01259","Perf."
"#01260","R&aacute;pido"
"#01261","Normal"
"#01262","Automa&aacute;"
"#01263","Bloquear"
"#01264","Selecting “Perf.” prioritizes"
"#01265","performance over graphics."
"#01266","Change the game's speed."
"#01267","(Unlocked after beating game.)"
"#01268","Choose to automatically"
"#01269","rotate the screen or not."
"#01270","Adjust the volume."
"#01272","(C) Kairosoft Co., Ltd."
"#01273","(C) Kairosoft Co., Ltd."
"#01274","Clear Points"
"#01275","Page"
"#01276","Next"
"#01277","Maint."
"#01278","Base"
"#01279","Bns"
"#01280","Total"
"#01281","Bonus"
"#01282","Male"
"#01283","Female"
"#01284","Month <0>"
"#01285","Maint."
"#01286","<0>/month"
"#01287","None"
"#01288","Price"
"#01289","Stock"
"#01290","Owned"
"#01291","Complete"
"#01292","In progress"
"#01293","<0> complete"
"#01294","<0>: <1> Issue"
"#01295","Item List"
"#01296","Owned"
"#01297","Item List"
"#01298","Times Used"
"#01299","<0>"
"#01300","<0>"
"#01301","Summary"
"#01302","Length"
"#01303","Cost"
"#01304","Name"
"#01305","Rank"
"#01306","Facilities"
"#01307","All"
"#01308","All Facilities"
"#01309","List"
"#01310","Overwrite current progress?"
"#01311","Delete current progress?"
"#01312","Save complete."
"#01313","Scroll to select a location. Keep your finger on the item while scrolling to make fine adjustments. Tap to build."
"#01314","Already set."
"#01315","You don't have enough money."
"#01316","You got <co=000080><0></co>."
"#01317","Now following this guest. Tap again to see detailed info."
"#01318","Building <0>..."
"#01319","Remove <0>"
"#01320","Remove until where?"
"#01321","Start <0> where?"
"#01322","Place until where?"
"#01323","Spr"
"#01324","Sum"
"#01325","Aut"
"#01326","Wnt"
"#01327","<co=008000><0></co> is complete."
"#01328","-<0> in monthly maintenance."
"#01329","Kairo News"
"#01330","Visit us at Kairo Park."
"#01331","Check out Kairo Park Apps."
"#01332","Quit the game and head to"
"#01333","Head to Kairo Park?"
"#01334","Head to our App intro page?"
"#01335","OK"
"#01336","Quit the game?"
"#01337","Stay up-to-date with the"
"#01338","latest Kairo Park info!"
"#01339","Currency"
"#01340","\\"
"#01341","$"
"#01342","Switch currency to yen/dollars."
"#01343","Note that ￥100 = ＄1."
"#01344","Enter Kairo Park"
"#01345","Loading"
"#01346","Please enter a name."
"#01347","Enter up to <0> characters."
"#01348","Yr <0> Mn <1> Wk <2>"
"#01349","Load failed."
"#01350","Could not read data."
"#01351","Make sure to allow connection to network and check your signal strength."
"#01352","Make sure to allow connection to network and<br>check your signal quality."
"#01353","Authentication failed."
"#01354","A server error has occurred."
"#01355","A data error has occurred.<br>Please re-install the application."
"#01356","An error has occurred.<br>Please restart the application."
"#01357","Could not start game."
"#01358","Auto <0>"
"#01359","Save <0>"
"#01360","Send all data"
"#01361","Show error log"
"#01362","Send all data?"
"#01363","Send Autosave Data <0>?"
"#01364","Send Save Data <0>?"
"#01365","Data sent.<br>Thanks for your cooperation.<br>We hope you'll stick with us!"
"#01366","An error has occurred.<br>Retry?"
"#01367","Send Save Data"
"#01368","Choose data to send."
"#01369","Sending data"
"#01370","Do not turn the device off."
"#01371","Error"
"#01372","Lite Version"
"#01373","An error has occurred."
"#01374","OK"
"#01375","On the app settings screen, turn on all \""App Permissions\"" and restart the app."
"#01376","Please wait..."
"#01377","Authority: Please re-boot to allow the storage.<br>You will need to save the game."
"#01378","You can not start."
"#01379","Please shorten the content"
"#01380","How to use TapJoy\n- Terminate \""Limit Ad Tracking\"" and restart the game.\n* Setting app > Privacy > Advertising > Limit Ad Tracking"
"#01381","Loading Advert"
"#01382","Confirm"
"#01383","Finish"
"#01384","Back"
"#01385","Check"
"#01386","Menu"
"#01387","Map"
"#01388","Normal"
"#01389","Depart"
"#01390","Help"
"#01391","Self"
"#01392","Top"
"#01393","Site"
"#01394","Popular"
"#01395","Start"
"#01396","Edit"
"#01397","Compat."
"#01398","Rotate"
"#01399","Name"
"#01400","Report"
"#01401","Export"
"#01402","Hint"
"#01403","Order"
"#01404","Note"
"#01405","Defaults"
"#01406","Remove"
"#01407","Normal"
"#01408","Cancel"
"#01409","Sell"
"#01410","Rename"
"#01411","Details"
"#01412","Guide"
"#01413","Rotate"
"#01414","Cancel"
"#01415","Floor"
"#01416","Info"
"#01417","Auto"
"#01418","Toggle"
"#01419","Remove"
"#01420","Skip"
"#01421","Map"
"#01422","Status"
"#01423","Units"
"#01424","Forfeit"
"#01425","Tactics"
"#01426","Sort"
"#01427","Diagnose"
"#01428","Save"
"#01429","Menu"
"#01430","Supplement"
"#01431","Setting"
"#01432","Down"
"#01433","To top"
"#01434","Liquidation"
"#01435","Synthesis"
"#01436","Fellow"
"#01437","Tracking"
"#01438","Maximum"
"#01439","Reward"
"#01440","To ship"
"#01441","Jail"
"#01442","Job"
"#01443","Password"
"#01444","GET !!"
"#01445","Recommended"
"#01446","Close up"
"#01447","Action"
"#01448","Warehouse"
"#01449","Effect"
"#01450","Consent"
"#01451","Agreement"
"#01452","Shuffle"
"#01453","Stop"
"#01454","History"
"#01455","Input"
"#01456","Completion"
"#01457","Dismissal"
"#01458","Skill"
"#01459","Pumpkin"
"#01460","Removal"
"#01461","Purchase"
"#01462","Sale"
"#01463","LVUP"
"#01464","Zoom"
"#01465","Information"
